city,cloudiness,Country,date,humid,lat,lng,max_temp,wind_speed
bambous virieux,40,MU,03/15/2020,74,-20.34,57.76,82.4,5.82
tiksi,99,RU,03/15/2020,87,71.69,128.87,-2.97,14.74
paris,75,FR,03/15/2020,58,48.85,2.35,62.6,13.87
santa rosalia,96,MX,03/15/2020,54,27.32,-112.28,58.77,5.66
youghal,75,IE,03/15/2020,61,51.95,-7.85,52.0,23.04
alta floresta,90,BR,03/15/2020,88,-9.88,-56.09,78.8,3.36
chongwe,52,ZM,03/15/2020,85,-15.33,28.68,74.25,5.23
prainha,100,BR,03/15/2020,97,-1.8,-53.48,73.35,3.8
talnakh,33,RU,03/15/2020,83,69.49,88.4,-11.2,15.66
coahuayana,75,MX,03/15/2020,88,18.73,-103.68,69.8,2.06
vaini,90,TO,03/15/2020,94,-21.2,-175.2,80.6,5.82
hermanus,10,ZA,03/15/2020,90,-34.42,19.23,70.0,7.0
samarinda,94,ID,03/15/2020,94,-0.5,117.15,76.41,2.98
butaritari,0,KI,03/15/2020,75,3.07,172.79,84.15,17.92
castro,1,BR,03/15/2020,57,-24.79,-50.01,80.91,6.38
alofi,100,NU,03/15/2020,94,-19.06,-169.92,77.0,2.24
severomuysk,100,RU,03/15/2020,96,56.15,113.43,20.41,2.55
calama,0,CL,03/15/2020,22,-22.47,-68.93,64.4,11.41
kapaa,90,US,03/15/2020,83,22.08,-159.32,69.8,4.7
leningradskiy,97,RU,03/15/2020,65,69.38,178.42,13.77,9.04
luderitz,0,NA,03/15/2020,83,-26.65,15.16,65.07,30.8
hilo,90,US,03/15/2020,83,19.73,-155.09,71.6,4.7
doka,98,SD,03/15/2020,11,13.52,35.77,95.85,11.74
kavieng,100,PG,03/15/2020,67,-2.57,150.8,85.05,5.17
khatanga,100,RU,03/15/2020,92,71.97,102.5,-5.85,12.12
provideniya,100,RU,03/15/2020,97,64.38,-173.3,24.75,3.38
san quintin,12,MX,03/15/2020,77,30.48,-115.95,57.87,4.72
cidreira,97,BR,03/15/2020,76,-30.18,-50.21,77.85,9.51
cockburn town,0,TC,03/15/2020,76,21.46,-71.14,75.51,19.17
grindavik,75,IS,03/15/2020,74,63.84,-22.43,35.6,21.92
marystown,100,CA,03/15/2020,69,47.17,-55.15,30.87,26.82
qasigiannguit,20,GL,03/15/2020,48,68.82,-51.19,-7.6,10.29
acarau,55,BR,03/15/2020,76,-2.89,-40.12,84.69,6.8
atuona,11,PF,03/15/2020,69,-9.8,-139.03,81.27,9.64
elko,1,US,03/15/2020,86,41.0,-115.5,33.8,6.93
puerto ayora,40,EC,03/15/2020,83,-0.74,-90.35,80.01,8.05
bakel,61,SN,03/15/2020,8,14.9,-12.46,100.71,12.26
avarua,54,CK,03/15/2020,100,-21.21,-159.78,75.2,1.12
kabinda,3,CD,03/15/2020,63,-6.13,24.48,83.61,1.74
lazaro cardenas,0,MX,03/15/2020,61,17.96,-102.2,82.17,2.64
makakilo city,40,US,03/15/2020,78,21.35,-158.09,78.8,3.36
port elizabeth,40,ZA,03/15/2020,69,-33.92,25.57,73.4,10.29
mayo,90,US,03/15/2020,93,38.89,-76.51,44.01,5.82
veraval,84,IN,03/15/2020,44,20.9,70.37,73.17,5.7
yulara,0,AU,03/15/2020,17,-25.24,130.99,86.0,13.87
baykit,100,RU,03/15/2020,88,61.67,96.37,29.79,9.55
mar del plata,75,AR,03/15/2020,72,-38.0,-57.56,64.4,11.41
tessalit,61,ML,03/15/2020,7,20.2,1.01,98.19,13.58
tailai,0,CN,03/15/2020,58,46.38,123.4,17.55,8.79
kaitangata,100,NZ,03/15/2020,83,-46.28,169.85,57.0,9.82
norman wells,90,CA,03/15/2020,73,65.28,-126.83,21.2,18.34
terrace,5,CA,03/15/2020,45,54.52,-128.6,23.0,18.34
gornopravdinsk,100,RU,03/15/2020,96,60.05,69.9,31.41,6.98
shimoda,98,JP,03/15/2020,68,34.67,138.95,48.0,1.99
clyde river,20,CA,03/15/2020,66,70.47,-68.59,-29.2,4.7
padang,44,ID,03/15/2020,94,-0.95,100.35,69.75,5.12
bambanglipuro,100,ID,03/15/2020,85,-7.95,110.28,77.11,5.73
olafsvik,100,IS,03/15/2020,93,64.89,-23.71,32.67,19.44
itarema,55,BR,03/15/2020,76,-2.92,-39.92,84.69,6.8
ewo,59,CG,03/15/2020,53,-0.87,14.82,89.37,2.64
sangar,91,RU,03/15/2020,83,63.92,127.47,-5.13,12.57
klaksvik,97,FO,03/15/2020,69,62.23,-6.59,33.8,21.92
shingu,28,JP,03/15/2020,64,33.73,135.98,51.21,26.64
hervey bay,32,AU,03/15/2020,68,-25.3,152.85,71.6,10.29
bystrogorskiy,57,RU,03/15/2020,36,48.21,41.14,35.55,11.01
piacabucu,60,BR,03/15/2020,63,-10.41,-36.43,86.31,10.09
sao joao da barra,20,BR,03/15/2020,62,-21.64,-41.05,86.0,9.17
longyearbyen,20,SJ,03/15/2020,63,78.22,15.64,-5.8,3.36
bandarbeyla,0,SO,03/15/2020,76,9.49,50.81,79.81,14.92
lavrentiya,100,RU,03/15/2020,98,65.58,-171.0,32.11,5.01
voh,100,NC,03/15/2020,77,-20.97,164.7,81.99,32.64
progreso,5,MX,03/15/2020,88,21.28,-89.67,75.99,4.7
barrow,40,US,03/15/2020,76,71.29,-156.79,-7.6,6.93
narsaq,75,GL,03/15/2020,53,60.92,-46.05,24.8,0.69
velyka bahachka,100,UA,03/15/2020,45,49.79,33.72,33.57,16.75
banda aceh,100,ID,03/15/2020,92,5.56,95.32,76.41,4.14
rumford,75,US,03/15/2020,57,44.55,-70.55,32.0,6.93
sioux lookout,90,CA,03/15/2020,76,50.1,-91.92,1.4,3.67
tilichiki,100,RU,03/15/2020,95,60.47,166.1,9.81,5.5
walvis bay,10,NA,03/15/2020,88,-22.96,14.51,64.0,5.01
huarmey,50,PE,03/15/2020,55,-10.07,-78.15,80.91,7.25
labuhan,54,ID,03/15/2020,89,-6.88,112.21,77.31,1.77
saint-philippe,20,RE,03/15/2020,74,-21.36,55.77,82.4,20.8
irpa irpa,75,BO,03/15/2020,49,-17.72,-66.27,69.8,4.7
dubuque,90,US,03/15/2020,86,42.48,-90.87,30.2,8.05
acapulco,40,MX,03/15/2020,88,16.86,-99.89,75.2,2.42
mineiros,0,BR,03/15/2020,61,-17.57,-52.55,83.25,3.11
hasaki,20,JP,03/15/2020,93,35.73,140.83,41.0,4.7
qena,0,EG,03/15/2020,44,26.16,32.72,78.8,9.17
asau,0,RO,03/15/2020,25,46.43,26.4,41.0,13.87
victoria,20,HK,03/15/2020,72,22.29,114.16,70.0,11.41
lyangasovo,52,RU,03/15/2020,85,58.52,49.45,21.87,5.95
cairns,79,AU,03/15/2020,78,-16.92,145.77,75.2,7.9
bredasdorp,100,ZA,03/15/2020,64,-34.53,20.04,68.0,16.11
jeremie,29,HT,03/15/2020,69,18.65,-74.12,73.89,6.53
emba,100,KZ,03/15/2020,90,48.83,58.14,31.21,6.58
kieta,100,PG,03/15/2020,80,-6.22,155.63,82.71,7.23
darhan,0,MN,03/15/2020,77,49.49,105.92,24.57,8.23
bar harbor,1,US,03/15/2020,53,44.39,-68.2,28.99,12.75
saint anthony,1,US,03/15/2020,73,45.02,-93.22,27.0,5.82
tasiilaq,100,GL,03/15/2020,55,65.61,-37.64,6.8,13.87
chumikan,9,RU,03/15/2020,89,54.72,135.31,0.27,2.1
yellowknife,75,CA,03/15/2020,85,62.46,-114.35,19.4,12.75
bourges,87,FR,03/15/2020,41,47.25,2.42,64.4,9.17
ilulissat,20,GL,03/15/2020,48,69.22,-51.1,-7.6,10.29
cartagena,0,CO,03/15/2020,78,10.4,-75.51,78.8,2.24
bongandanga,100,CD,03/15/2020,85,1.5,21.05,76.77,3.94
saskylakh,100,RU,03/15/2020,90,71.92,114.08,19.17,7.18
karasburg,0,NA,03/15/2020,14,-28.02,18.75,91.17,10.29
torrelavega,75,ES,03/15/2020,71,43.35,-4.05,57.99,6.93
vitim,100,RU,03/15/2020,97,59.45,112.56,31.41,9.19
brigantine,90,US,03/15/2020,52,39.41,-74.36,46.4,11.41
kahului,1,US,03/15/2020,88,20.89,-156.47,69.8,4.7
ondjiva,40,AO,03/15/2020,48,-17.07,15.73,87.8,6.93
yar-sale,100,RU,03/15/2020,80,66.83,70.83,-1.53,4.16
kaeo,100,NZ,03/15/2020,90,-35.1,173.78,60.01,5.99
elizabeth city,90,US,03/15/2020,87,36.29,-76.25,51.01,13.87
upernavik,0,GL,03/15/2020,70,72.79,-56.15,-18.81,4.47
mapimi,5,MX,03/15/2020,60,25.82,-103.85,68.0,9.08
ouahigouya,100,BF,03/15/2020,12,13.58,-2.42,102.15,4.72
nanortalik,100,GL,03/15/2020,68,60.14,-45.24,24.57,14.34
north bend,1,US,03/15/2020,80,43.41,-124.22,37.4,8.05
goure,7,NE,03/15/2020,9,13.98,10.27,89.01,8.99
chapais,40,CA,03/15/2020,70,49.78,-74.85,-0.4,11.41
karangasem,40,ID,03/15/2020,94,-8.45,115.62,82.4,3.36
salalah,20,OM,03/15/2020,51,17.02,54.09,80.6,11.41
sainte-suzanne,90,RE,03/15/2020,74,-20.91,55.61,82.4,13.87
platanos,20,GR,03/15/2020,68,37.67,21.62,68.0,8.05
richards bay,37,ZA,03/15/2020,86,-28.78,32.04,80.01,15.64
pahrump,1,US,03/15/2020,75,36.21,-115.98,51.01,3.36
tocopilla,0,CL,03/15/2020,30,-22.09,-70.2,74.41,5.12
boa vista,75,BR,03/15/2020,55,2.82,-60.67,86.0,11.41
nikolskoye,29,RU,03/15/2020,38,59.7,30.79,39.2,13.42
muros,75,ES,03/15/2020,87,42.78,-9.06,55.0,5.82
qusar,63,AZ,03/15/2020,74,41.43,48.43,45.09,5.03
hami,26,CN,03/15/2020,27,42.8,93.45,41.11,3.13
poronaysk,34,RU,03/15/2020,84,49.22,143.12,17.91,7.49
unity,51,CA,03/15/2020,96,52.45,-109.17,-2.97,5.75
abbeville,90,FR,03/15/2020,62,50.1,1.83,55.99,13.87
hovd,82,MN,03/15/2020,36,48.01,91.64,28.35,3.76
port lincoln,47,AU,03/15/2020,78,-34.73,135.87,62.71,12.64
aksu,74,CN,03/15/2020,24,41.12,80.26,48.15,4.27
sobolevo,0,RU,03/15/2020,41,54.43,31.9,30.69,12.66
aljezur,5,PT,03/15/2020,74,37.32,-8.8,64.0,25.72
arlit,0,NE,03/15/2020,6,18.74,7.39,92.61,10.98
olinda,75,BR,03/15/2020,94,-8.01,-34.86,78.8,1.12
chatakonda,33,IN,03/15/2020,59,17.55,80.65,81.27,8.34
khash,0,IR,03/15/2020,23,28.22,61.22,63.27,11.36
ust-barguzin,82,RU,03/15/2020,94,53.45,108.98,27.09,4.74
dikson,100,RU,03/15/2020,98,73.51,80.55,-5.85,4.47
charters towers,0,AU,03/15/2020,77,-20.1,146.27,69.57,4.94
palmas,40,BR,03/15/2020,83,-10.21,-48.36,80.6,2.24
bengkulu,99,ID,03/15/2020,90,-3.8,102.27,76.59,3.65
zahirabad,82,IN,03/15/2020,29,17.68,77.62,87.75,11.79
bintulu,75,MY,03/15/2020,88,3.17,113.03,80.6,2.24
mantua,40,IT,03/15/2020,46,45.17,10.78,60.01,2.24
solnechnyy,66,RU,03/15/2020,88,50.72,136.63,6.21,4.41
milledgeville,90,US,03/15/2020,67,33.08,-83.23,62.6,5.61
salym,100,RU,03/15/2020,97,60.06,71.48,31.41,6.55
mitsamiouli,75,KM,03/15/2020,70,-11.38,43.28,87.8,9.17
korsakov,75,RU,03/15/2020,85,46.63,142.78,17.6,6.71
altamont,20,US,03/15/2020,79,42.21,-121.74,27.0,8.05
half moon bay,90,US,03/15/2020,81,37.46,-122.43,50.0,16.11
komsomolskiy,4,UZ,03/15/2020,20,40.43,71.72,66.2,4.7
kyaiklat,100,MM,03/15/2020,66,16.43,95.73,84.2,9.17
yerbogachen,100,RU,03/15/2020,90,61.28,108.01,28.35,11.14
okhotsk,100,RU,03/15/2020,96,59.38,143.3,1.89,2.55
iqaluit,75,CA,03/15/2020,67,63.75,-68.51,-22.0,6.35
bandar-e lengeh,77,IR,03/15/2020,61,26.56,54.88,78.8,9.17
vila velha,75,BR,03/15/2020,69,-20.33,-40.29,84.0,3.36
sangin,100,AF,03/15/2020,24,32.07,64.84,66.51,6.24
souillac,40,MU,03/15/2020,74,-20.52,57.52,82.4,5.82
shakawe,95,BW,03/15/2020,44,-18.37,21.85,86.11,3.27
vestmanna,85,FO,03/15/2020,69,62.16,-7.17,33.8,21.92
yatou,0,CN,03/15/2020,49,37.15,122.38,34.47,17.02
tura,58,IN,03/15/2020,67,25.52,90.22,68.31,2.24
sorland,75,NO,03/15/2020,56,67.67,12.69,32.0,6.93
vao,16,NC,03/15/2020,75,-22.67,167.48,83.61,47.62
basco,83,PH,03/15/2020,72,20.45,121.97,69.91,20.04
tchollire,77,CM,03/15/2020,6,8.4,14.17,102.51,4.23
mindelo,40,CV,03/15/2020,61,16.89,-24.98,77.0,29.97
gat,20,IL,03/15/2020,64,31.61,34.76,70.0,9.17
kangaatsiaq,100,GL,03/15/2020,98,68.31,-53.46,-0.81,13.91
morro bay,90,US,03/15/2020,71,35.37,-120.85,55.99,8.05
maracacume,100,BR,03/15/2020,93,-2.04,-45.96,79.47,7.16
scottsbluff,90,US,03/15/2020,86,41.87,-103.67,33.8,11.41
grojec,0,PL,03/15/2020,26,51.86,20.87,46.0,12.75
natal,75,BR,03/15/2020,70,-5.79,-35.21,86.0,12.75
evensk,99,RU,03/15/2020,99,61.95,159.23,2.41,3.58
phan thiet,35,VN,03/15/2020,76,10.93,108.1,75.15,9.08
hostotipaquillo,40,MX,03/15/2020,93,21.07,-104.07,60.01,2.26
tazovskiy,100,RU,03/15/2020,91,67.47,78.7,-5.49,6.44
pevek,91,RU,03/15/2020,85,69.7,170.31,9.27,15.95
chokurdakh,0,RU,03/15/2020,71,70.63,147.92,-22.23,3.74
litovko,78,RU,03/15/2020,98,49.24,135.17,4.21,0.78
galesburg,40,US,03/15/2020,84,40.95,-90.37,34.0,8.05
odweyne,61,SO,03/15/2020,40,9.41,45.06,81.27,5.41
majene,100,ID,03/15/2020,88,-3.54,118.97,76.59,4.52
palmer,40,US,03/15/2020,44,42.16,-72.33,43.0,9.17
bilibino,94,RU,03/15/2020,96,68.05,166.44,-1.71,3.27
surt,0,LY,03/15/2020,39,31.21,16.59,70.65,16.02
avera,90,US,03/15/2020,67,33.19,-82.53,63.0,6.8
coquimbo,90,CL,03/15/2020,93,-29.95,-71.34,60.8,2.24
yantal,100,RU,03/15/2020,93,56.85,105.25,28.71,12.53
port blair,32,IN,03/15/2020,75,11.67,92.75,82.89,9.69
bima,100,ID,03/15/2020,95,-8.47,118.72,73.35,1.14
anadyr,0,RU,03/15/2020,79,64.75,177.48,26.6,15.66
korla,83,CN,03/15/2020,33,41.76,86.15,35.55,2.98
chara,100,RU,03/15/2020,88,56.91,118.26,11.41,0.89
brokopondo,73,SR,03/15/2020,52,4.75,-55.17,86.85,6.2
poltava,100,UA,03/15/2020,45,49.59,34.54,33.39,16.64
sungairaya,91,ID,03/15/2020,96,0.7,108.9,75.69,3.74
vityazevo,20,RU,03/15/2020,44,44.99,37.27,41.0,15.66
ajdabiya,0,LY,03/15/2020,58,30.76,20.23,66.69,5.39
kysyl-syr,100,RU,03/15/2020,94,63.9,122.76,3.15,12.35
anito,0,PH,03/15/2020,71,12.45,125.29,80.37,13.0
ponta do sol,40,PT,03/15/2020,52,32.67,-17.1,66.2,19.46
nacala,48,MZ,03/15/2020,85,-14.54,40.67,78.91,5.82
naze,0,JP,03/15/2020,48,28.37,129.48,60.8,20.8
sebinkarahisar,100,TR,03/15/2020,88,40.29,38.42,40.05,2.48
kamenka,100,RU,03/15/2020,70,51.32,42.77,28.99,10.0
pando,90,UY,03/15/2020,64,-34.72,-55.95,71.01,9.17
san luis,100,AR,03/15/2020,40,-33.3,-66.34,67.21,17.25
srednekolymsk,97,RU,03/15/2020,97,67.45,153.68,-15.39,8.52
refojos de basto,90,PT,03/15/2020,93,41.51,-8.0,55.0,17.22
geraldton,90,AU,03/15/2020,73,-28.77,114.6,73.4,8.05
beberibe,75,BR,03/15/2020,83,-4.18,-38.13,80.6,8.05
ribeira grande,40,PT,03/15/2020,72,38.52,-28.7,64.4,8.05
virtsu,18,EE,03/15/2020,64,58.57,23.51,41.0,16.11
mahajanga,20,MG,03/15/2020,66,-15.72,46.32,89.6,8.05
kruisfontein,100,ZA,03/15/2020,85,-34.0,24.73,62.91,9.48
kununurra,0,AU,03/15/2020,73,-15.77,128.73,77.0,6.42
cedar city,1,US,03/15/2020,60,37.68,-113.06,42.8,16.11
takoradi,100,GH,03/15/2020,57,4.88,-1.76,90.81,8.55
antofagasta,20,CL,03/15/2020,72,-23.65,-70.4,72.0,4.7
harsova,67,RO,03/15/2020,38,44.68,27.93,41.0,17.22
goderich,0,CA,03/15/2020,65,43.75,-81.72,28.99,5.01
tuatapere,89,NZ,03/15/2020,95,-46.13,167.68,54.0,3.0
bullhead city,90,US,03/15/2020,76,35.15,-114.57,57.2,8.34
haines junction,48,CA,03/15/2020,84,60.75,-137.51,11.79,3.4
talas,75,TR,03/15/2020,45,38.69,35.55,62.6,12.75
arkhara,100,RU,03/15/2020,94,49.42,130.08,4.95,1.74
marang,40,MY,03/15/2020,83,5.21,103.21,84.2,5.82
puerto el triunfo,0,SV,03/15/2020,61,13.28,-88.55,80.6,5.82
riachao,67,BR,03/15/2020,68,-7.36,-46.62,84.31,9.48
cherskiy,100,RU,03/15/2020,96,68.75,161.3,2.61,4.43
sigayevo,100,RU,03/15/2020,80,56.42,53.78,39.0,1.7
beringovskiy,0,RU,03/15/2020,92,63.05,179.32,20.97,11.32
kendari,100,ID,03/15/2020,95,-3.94,122.5,74.79,2.39
mubi,4,NG,03/15/2020,7,10.27,13.26,92.61,9.28
alekseyevka,100,RU,03/15/2020,45,50.63,38.69,30.15,13.06
kulhudhuffushi,0,MV,03/15/2020,74,6.62,73.07,83.79,6.46
manali,40,IN,03/15/2020,70,13.17,80.27,84.2,11.41
yeppoon,40,AU,03/15/2020,73,-23.13,150.73,75.2,6.93
lagunas,93,PE,03/15/2020,63,-5.23,-75.68,87.57,3.22
djibo,100,BF,03/15/2020,7,14.1,-1.63,101.61,5.91
tallahassee,1,US,03/15/2020,82,30.44,-84.28,70.0,4.36
san cristobal,75,VE,03/15/2020,83,7.77,-72.22,75.2,6.93
rochegda,26,RU,03/15/2020,90,62.8,43.25,18.27,5.68
mackenzie,1,CA,03/15/2020,76,55.3,-123.17,-11.2,2.24
isla mujeres,40,MX,03/15/2020,74,21.23,-86.73,80.01,8.05
qaqortoq,75,GL,03/15/2020,53,60.72,-46.03,24.8,11.39
mudon,33,MM,03/15/2020,78,16.26,97.72,79.81,10.74
yuzhno-kurilsk,27,RU,03/15/2020,79,44.03,145.86,26.37,16.64
katobu,100,ID,03/15/2020,92,-4.94,122.53,76.21,2.17
kasongo-lunda,100,CD,03/15/2020,64,-6.47,16.82,83.61,2.91
deputatskiy,0,RU,03/15/2020,93,69.3,139.9,-32.31,1.34
broome,1,US,03/15/2020,56,42.25,-75.83,37.99,11.41
karpathos,20,GR,03/15/2020,77,35.51,27.21,64.4,9.17
oranjemund,0,NA,03/15/2020,68,-28.55,16.43,68.11,23.29
san patricio,54,MX,03/15/2020,79,19.22,-104.7,77.31,3.49
ixtapa,40,MX,03/15/2020,93,20.7,-105.2,69.01,5.82
puerto ayacucho,68,VE,03/15/2020,48,5.66,-67.62,92.61,0.22
iralaya,20,HN,03/15/2020,78,15.0,-83.23,80.6,14.65
pouebo,100,NC,03/15/2020,90,-20.4,164.57,74.79,14.03
lasa,20,IT,03/15/2020,59,46.62,10.7,53.6,9.17
caala,49,AO,03/15/2020,81,-12.85,15.56,71.37,4.43
mabai,96,CN,03/15/2020,93,23.01,104.45,58.59,5.44
karratha,14,AU,03/15/2020,76,-20.74,116.85,84.87,16.22
dzhebariki-khaya,0,RU,03/15/2020,87,62.22,135.8,-14.85,3.53
gigmoto,0,PH,03/15/2020,72,13.78,124.39,80.55,8.7
bilma,0,NE,03/15/2020,6,18.69,12.92,86.85,2.75
rafaela,96,AR,03/15/2020,84,-31.25,-61.49,66.99,3.0
toora-khem,99,RU,03/15/2020,93,52.47,96.11,26.37,5.53
invermere,0,CA,03/15/2020,87,50.52,-116.04,-6.03,3.4
saint george,90,US,03/15/2020,66,37.1,-113.58,51.01,11.41
bad reichenhall,5,DE,03/15/2020,22,47.73,12.88,59.0,11.41
saldanha,68,ZA,03/15/2020,44,-33.01,17.94,78.8,24.16
makurdi,16,NG,03/15/2020,7,7.74,8.51,105.01,4.07
inyonga,61,TZ,03/15/2020,82,-6.72,32.07,76.77,3.15
kiama,20,AU,03/15/2020,82,-34.68,150.87,62.01,8.05
nargana,64,PA,03/15/2020,75,9.44,-78.59,81.09,15.86
akdepe,84,TM,03/15/2020,20,42.06,59.38,78.8,11.41
aykhal,100,RU,03/15/2020,79,66.0,111.5,23.0,8.95
cochrane,75,CA,03/15/2020,76,51.18,-114.47,-6.0,4.7
port augusta,0,AU,03/15/2020,68,-32.5,137.77,66.2,6.93
petauke,100,ZM,03/15/2020,90,-14.24,31.33,77.31,1.74
shambu,61,ET,03/15/2020,54,9.57,37.1,69.39,2.8
dunedin,100,NZ,03/15/2020,83,-45.87,170.5,57.99,17.45
plettenberg bay,100,ZA,03/15/2020,91,-34.05,23.37,62.01,2.19
healdsburg,90,US,03/15/2020,100,38.61,-122.87,46.0,6.93
bethel,90,US,03/15/2020,48,41.37,-73.41,44.01,12.75
garden city,1,US,03/15/2020,64,42.33,-83.33,36.0,10.29
palana,100,RU,03/15/2020,79,59.12,159.97,9.27,5.35
pacific grove,90,US,03/15/2020,81,36.62,-121.92,51.8,5.82
meulaboh,86,ID,03/15/2020,68,4.14,96.13,85.41,3.15
roznava,0,SK,03/15/2020,9,48.66,20.54,46.0,2.24
aykino,52,RU,03/15/2020,90,62.22,49.99,13.77,4.18
fort nelson,75,CA,03/15/2020,56,58.81,-122.7,12.2,4.7
mahibadhoo,10,MV,03/15/2020,70,3.78,72.97,83.79,9.86
payo,98,ID,03/15/2020,91,-3.75,103.64,70.47,3.11
byron bay,40,AU,03/15/2020,68,-28.65,153.62,71.6,17.22
burnie,5,AU,03/15/2020,91,-41.07,145.92,53.01,5.99
ishim,100,RU,03/15/2020,96,56.11,69.49,37.17,19.37
broken hill,0,AU,03/15/2020,34,-31.95,141.43,64.4,8.05
camacha,40,PT,03/15/2020,63,33.08,-16.33,66.2,19.46
bara,41,NG,03/15/2020,5,10.37,10.73,95.49,8.37
teguldet,100,RU,03/15/2020,96,57.31,88.17,32.85,10.22
carroll,90,US,03/15/2020,93,39.55,-77.02,43.0,6.93
